1,35,30,3,1,1,0,4500
1,25,30,1,1,1,1,5400
1,27,40,4,1,0,0,4500
1,25,50,1,1,1,0,5000
1,25,25,5,0,0,0,3500
1,20,30,3,0,0,0,2500
1,28,35,5,0,0,0,4000
1,30,40,5,0,0,0,4200
1,30,40,3,0,0,0,4600
1,23,40,1,0,0,0,4000
1,35,37,7,0,0,0,4500
1,30,36,5,0,0,0,4200
1,25,40,1,1,0,0,4500
1,20,30,1,1,1,0,4200
2,60,20,15,0,1,0,4000
2,31,30,5,0,0,0,4000
1,30,28,5,0,0,0,3700
1,25,33,3,1,0,0,3900
1,30,36,2,0,0,0,4000
1,35,26,8,1,0,0,4000
1,30,20,3,1,0,0,4300
1,30,20,6,0,0,0,3300
1,25,29,3,0,0,0,3900
1,35,35,4,0,0,1,4200
1,35,20,5,0,0,1,3200
1,30,27,6,1,0,0,3900
1,30,26,5,0,0,1,3600
1,30,20,8,0,0,0,3200
1,25,33,7,0,0,0,3600
1,27,34,4,0,0,0,3600
1,25,30,4,0,0,0,3300
1,30,35,5,0,0,0,3600
1,30,28,3,0,0,0,3700
1,30,37,3,1,0,1,4500
1,29,33,5,0,0,0,3500
1,30,29,5,0,0,0,3900
1,30,35,4,1,0,0,4000
1,30,23,6,0,0,0,3200
1,30,39,4,1,1,0,4500


